*** New Session***
25-7-2018 15:56:54
Product Name: 30 Flux
25392437 : Rx: [10][19][F2][52][BE][0A][FF][34]
25392687 : Rx: [19][74][38][86][8F][55][20][33]
25392937 : Rx: [10][19][F4][53][A2][0A][FF][34]
25393187 : Rx: [19][75][38][ED][8F][67][20][33]
25393437 : Rx: [10][19][F6][54][BE][0A][FF][34]
25393687 : Rx: [19][76][39][56][90][69][20][33]
25393937 : Rx: [10][19][F8][56][D9][0A][FF][34]
25394187 : Rx fail
25394437 : Rx: [19][77][39][C1][90][6B][20][33]
25394687 : Rx: [19][78][3C][36][91][75][20][33]
25394937 : Rx: [10][19][FC][59][B8][0B][FF][34]
25395187 : Rx: [19][79][3D][B2][91][7C][20][33]
25395437 : Rx: [10][19][FE][5A][80][0B][FF][34]
25395687 : Rx: [19][7A][3B][22][92][70][20][33]
25395937 : Rx: [10][19][00][5B][48][0B][FF][34]
25396187 : Rx: [19][7B][3C][97][92][75][20][33]
25396437 : Rx: [10][19][02][5D][64][0B][FF][34]
25396687 : Rx: [19][7C][3D][13][93][7C][20][33]
25396937 : Rx: [10][19][04][5D][B8][0B][FF][34]
25397187 : Rx: [19][7D][3D][8F][93][7C][20][33]
25397437 : Rx: [10][19][06][60][B8][0B][FF][34]
25397687 : Rx: [19][7E][3D][0B][94][7C][20][33]
25397937 : Rx: [10][19][08][61][9C][0B][FF][34]
25398187 : Rx: [F0][00][00][00][00][00][00][00]
25398437 : Rx: [10][19][0A][62][D3][0B][FF][34]
25398687 : Rx: [19][7F][3E][8C][94][81][20][33]
25398937 : Rx: [10][19][0C][64][EF][0B][FF][34]
25399187 : Rx: [19][80][3E][0B][95][7F][20][33]
25399437 : Rx: [10][19][0E][65][0B][0C][FF][34]
25399687 : Rx: [19][81][3F][8F][95][84][20][33]
25399937 : Rx fail
25400187 : Rx: [19][82][40][16][96][87][20][33]
25400437 : Rx: [10][19][12][68][5E][0C][FF][34]
25400687 : Rx: [19][83][40][9D][96][87][20][33]
25400937 : Rx: [10][19][14][6A][42][0C][FF][34]
25401187 : Rx: [19][84][40][23][97][86][20][33]
25401437 : Rx fail
25401687 : Rx fail
25401937 : Rx: [10][19][18][6D][D3][0B][FF][34]
25402187 : Rx fail
25402437 : Rx: [10][19][1A][6E][27][0C][FF][34]
25402687 : Rx: [19][87][40][A6][98][86][20][33]
25402937 : Rx: [10][19][1C][70][96][0C][FF][34]
25403187 : Rx: [19][88][41][33][99][8D][20][33]
25403437 : Rx: [10][19][1E][71][7A][0C][FF][34]
25403687 : Rx: [19][89][40][B9][99][86][20][33]
25403937 : Rx: [10][19][20][73][42][0C][FF][34]
25404187 : Rx: [19][8A][40][3F][9A][86][20][33]
25404437 : Rx: [10][19][22][74][27][0C][FF][34]
25404687 : Rx: [19][8B][40][C5][9A][86][20][33]
25404937 : Rx: [10][19][24][76][42][0C][FF][34]
25405187 : Rx: [19][8C][40][4D][9B][88][20][33]
25405437 : Rx: [10][19][26][77][5E][0C][FF][34]
25405687 : Rx: [19][8D][42][DF][9B][92][20][33]
25405937 : Rx: [10][19][28][79][B2][0C][FF][34]
25406187 : Rx: [50][FF][FF][01][59][00][54][0B]
25406437 : Rx: [50][FF][FF][01][59][00][54][0B]
25406687 : Rx: [19][8E][42][71][9C][92][20][33]
25406937 : Rx fail
25407187 : Rx: [19][8F][42][00][9D][8F][20][33]
25407437 : Rx: [10][19][2E][7D][0B][0C][FF][34]
25407687 : Rx: [19][90][40][86][9D][86][20][33]
25407937 : Rx fail
25408187 : Rx: [19][91][40][0E][9E][88][20][33]
25408437 : Rx: [10][19][32][80][42][0C][FF][34]
25408687 : Rx: [19][92][42][9E][9E][90][20][33]
25408937 : Rx: [10][19][34][82][96][0C][FF][34]
25409187 : Rx: [19][93][42][2D][9F][8F][20][33]
25409437 : Rx: [10][19][36][84][E9][0C][FF][34]
25409687 : Rx: [19][94][44][C5][9F][98][20][33]
25409937 : Rx: [10][19][38][85][05][0D][FF][34]
25410187 : Rx: [19][95][45][60][A0][9B][20][33]
25410437 : Rx: [10][19][3A][87][21][0D][FF][34]
25410687 : Rx: [19][96][45][FB][A0][9B][20][33]
25410937 : Rx: [10][19][3C][88][21][0D][FF][34]
25411187 : Rx: [19][97][43][8B][A1][90][20][33]
25411437 : Rx: [10][19][3E][8A][21][0D][FF][34]
25411687 : Rx: [19][98][45][26][A2][9B][20][33]
25411937 : Rx: [10][19][40][8C][58][0D][FF][34]
25412187 : Rx: [19][99][46][C6][A2][A0][20][33]
25412437 : Rx: [10][19][42][8D][58][0D][FF][34]
25412687 : Rx: [19][9A][45][5E][A3][98][20][33]
25412937 : Rx: [10][19][44][8F][21][0D][FF][34]
25413187 : Rx fail
25413437 : Rx fail
25413687 : Rx fail
25413937 : Rx: [10][19][48][92][05][0D][FF][34]
25414187 : Rx: [19][9D][45][27][A5][9D][20][33]
25414437 : Rx: [10][19][4A][93][3C][0D][FF][34]
25414687 : Rx: [F0][00][00][00][00][00][00][00]
25414937 : Rx fail
25415187 : Rx fail
25415437 : Rx fail
25415687 : Rx fail
25415937 : Rx: [10][19][50][98][58][0D][FF][34]
25416187 : Rx: [19][A0][46][03][A7][9F][20][33]
25416437 : Rx fail
25416687 : Rx: [19][A1][45][9C][A7][99][20][33]
25416937 : Rx: [10][19][54][9C][58][0D][FF][34]
25417187 : Rx: [19][A2][46][3B][A8][9F][20][33]
25417437 : Rx: [10][19][56][9D][90][0D][FF][34]
25417687 : Rx: [19][A3][48][E1][A8][A6][20][33]
25417937 : Rx fail
25418187 : Rx: [19][A4][47][86][A9][A5][20][33]
25418437 : Rx: [10][19][5A][A1][90][0D][FF][34]
25418687 : Rx: [19][A5][47][2A][AA][A4][20][33]
25418937 : Rx: [10][19][5C][A2][AC][0D][FF][34]
25419187 : Rx: [19][A6][48][D1][AA][A7][20][33]
25419437 : Rx: [10][19][5E][A4][90][0D][FF][34]
25419687 : Rx: [19][A7][47][75][AB][A4][20][33]
25419937 : Rx: [10][19][60][A6][C7][0D][FF][34]
25420187 : Rx: [19][A8][48][1C][AC][A7][20][33]
25420437 : Rx: [10][19][62][A7][AC][0D][FF][34]
25420687 : Rx: [19][A9][49][C8][AC][AC][20][33]
25420937 : Rx: [10][19][64][A9][E3][0D][FF][34]
25421187 : Rx: [19][AA][49][73][AD][AB][20][33]
25421437 : Rx: [10][19][66][AB][52][0E][FF][34]
25421687 : Rx: [19][AB][4B][2A][AE][B7][20][33]
25421937 : Rx: [10][19][68][AC][FF][0D][FF][34]
25422187 : Rx: [19][AC][49][D3][AE][A9][20][33]
25422437 : Rx: [10][19][6A][AE][1B][0E][FF][34]
25422687 : Rx: [51][FF][02][14][87][9E][5C][33]
25422937 : Rx: [51][FF][02][14][87][9E][5C][33]
25423187 : Rx: [19][AD][4A][85][AF][B2][20][33]
25423437 : Rx: [10][19][6E][B2][36][0E][FF][34]
25423687 : Rx: [19][AE][4A][38][B0][B3][20][33]
25423937 : Rx: [10][19][70][B3][6E][0E][FF][34]
25424187 : Rx: [19][AF][4C][EF][B0][B7][20][33]
25424437 : Rx fail
25424687 : Rx: [19][B0][4C][A7][B1][B8][20][33]
25424937 : Rx: [10][19][74][B7][52][0E][FF][34]
25425187 : Rx fail
25425437 : Rx: [10][19][76][B9][1B][0E][FF][34]
25425687 : Rx fail
25425937 : Rx: [10][19][78][BB][52][0E][FF][34]
25426187 : Rx fail
25426437 : Rx: [10][19][7A][BC][52][0E][FF][34]
25426687 : Rx: [19][B4][46][76][B4][B6][20][33]
25426937 : Rx: [10][19][7C][BF][52][0E][FF][34]
25427187 : Rx: [19][B5][46][2C][B5][B6][20][33]
25427437 : Rx: [10][19][7E][C0][6E][0E][FF][34]
25427687 : Rx fail
25427937 : Rx fail
25428187 : Rx: [19][B7][46][B1][B6][C2][20][33]
25428437 : Rx fail
25428687 : Rx: [19][B8][46][76][B7][C5][20][33]
25428937 : Rx: [10][19][84][C5][DD][0E][FF][34]
25429187 : Rx: [19][B9][46][35][B8][BF][20][33]
25429437 : Rx: [10][19][86][C7][DD][0E][FF][34]
25429687 : Rx: [19][BA][46][F8][B8][C3][20][33]
25429937 : Rx: [10][19][88][C9][F9][0E][FF][34]
25430187 : Rx: [19][BB][46][BD][B9][C5][20][33]
25430437 : Rx: [10][19][8A][CB][15][0F][FF][34]
25430687 : Rx: [19][BC][46][8C][BA][CF][20][33]
25430937 : Rx: [10][19][8C][CD][30][0F][FF][34]
25431187 : Rx: [F0][00][00][00][00][00][00][00]
25431437 : Rx: [10][19][8E][CE][68][0F][FF][34]
25431687 : Rx: [19][BD][47][58][BB][CC][20][33]
25431937 : Rx: [10][19][90][D0][BB][0F][FF][34]
25432187 : Rx: [19][BE][47][30][BC][D8][20][33]
25432437 : Rx fail
25432687 : Rx: [10][19][92][D2][F3][0F][FF][34]
25432937 : Rx: [10][19][94][D4][D7][0F][FF][34]
25433187 : Rx: [19][C0][47][DA][BD][D4][20][33]
25433437 : Rx: [10][19][96][D6][68][0F][FF][34]
25433687 : Rx: [19][C1][47][A2][BE][C8][20][33]
25433937 : Rx: [10][19][98][D8][F9][0E][FF][34]
25434187 : Rx: [19][C2][4A][5D][BF][BB][20][33]
25434437 : Rx: [10][19][9A][DA][F9][0E][FF][34]
25434687 : Rx: [19][C3][4A][40][C0][E3][20][33]
25434937 : Rx: [10][19][9C][DC][F3][0F][FF][34]
25435187 : Rx: [19][C4][4A][23][C1][E3][20][33]
