*** New Session***
31-7-2018 09:00:07
Product Name: Genius 30
61473421 : Rx: [19][16][42][65][BD][D5][00][30]
61473671 : Rx: [10][19][D5][65][58][0D][FF][34]
61473921 : Rx: [19][17][42][3F][BE][DA][00][30]
61474171 : Rx: [10][19][D7][67][C7][0D][FF][34]
61474421 : Rx: [19][18][43][12][BF][D3][00][30]
61474671 : Rx: [10][19][D9][67][E9][0C][FF][34]
61474921 : Rx: [19][19][43][E5][BF][D3][00][30]
61475171 : Rx: [10][19][DB][6B][E9][0C][FF][34]
61475421 : Rx: [19][1A][42][B9][C0][D4][00][30]
61475671 : Rx: [10][19][DD][6C][3C][0D][FF][34]
61475921 : Rx: [19][1B][42][8D][C1][D4][00][30]
61476171 : Rx: [10][19][DF][6C][B2][0C][FF][34]
61476421 : Rx: [19][1C][43][5D][C2][D0][00][30]
61476671 : Rx fail
61476921 : Rx: [19][1D][42][29][C3][CC][00][30]
61477171 : Rx: [10][19][E3][71][5E][0C][FF][34]
61477421 : Rx: [19][1E][42][00][C4][D7][00][30]
61477671 : Rx: [10][19][E5][72][C7][0D][FF][34]
61477921 : Rx: [19][1F][42][D9][C4][D9][00][30]
61478171 : Rx fail
61478421 : Rx: [19][20][42][B6][C5][DD][00][30]
61478671 : Rx: [10][19][E9][76][6E][0E][FF][34]
61478921 : Rx: [19][21][43][9A][C6][E4][00][30]
61479171 : Rx: [10][19][EB][78][1B][0E][FF][34]
61479421 : Rx: [19][22][44][7C][C7][E2][00][30]
61479671 : Rx: [10][19][ED][7A][FF][0D][FF][34]
61479921 : Rx: [19][23][44][5E][C8][E2][00][30]
61480171 : Rx: [10][19][EF][7B][90][0D][FF][34]
61480421 : Rx: [19][24][44][3F][C9][E1][00][30]
61480671 : Rx: [10][19][F1][7C][36][0E][FF][34]
61480921 : Rx: [F0][00][00][00][00][00][00][00]
61481171 : Rx fail
61481421 : Rx: [19][25][45][26][CA][E7][00][30]
61481671 : Rx fail
61481921 : Rx: [19][26][45][0A][CB][E4][00][30]
61482171 : Rx: [10][19][F7][83][90][0D][FF][34]
61482421 : Rx: [19][27][45][EC][CB][E2][00][30]
61482671 : Rx: [10][19][F9][85][90][0D][FF][34]
61482921 : Rx fail
61483171 : Rx: [10][19][FB][86][1B][0E][FF][34]
61483421 : Rx: [19][29][45][BC][CD][E8][00][30]
61483671 : Rx fail
61483921 : Rx: [19][2A][46][A1][CE][E5][00][30]
